Property                                          Type     Read-only  Value
ALLOWED_SIM_MODELS                                string*  true       rtl
BASE_BOARD_PART                                   string   true       
BOARD                                             string   true       
BOARD_CONNECTIONS                                 string   true       
CLASS                                             string   true       ip
CONFIG.ATSPRI_M_AXIS_CQ.INSERT_VIP                string   false      0
CONFIG.ATSPRI_S_AXIS_RQ.INSERT_VIP                string   false      0
CONFIG.BASEADDR                                   string   false      0x00001000
CONFIG.CLK.AXI_ACLK.INSERT_VIP                    string   false      0
CONFIG.CLK.AXI_CTL_ACLK.INSERT_VIP                string   false      0
CONFIG.CLK.CORE_CLK.INSERT_VIP                    string   false      0
CONFIG.CLK.EXT_CH_GT_DRPCLK.INSERT_VIP            string   false      0
CONFIG.CLK.GT_DRP_CLK.INSERT_VIP                  string   false      0
CONFIG.CLK.SYS_CLK.INSERT_VIP                     string   false      0
CONFIG.CLK.SYS_CLK_GT.INSERT_VIP                  string   false      0
CONFIG.CLK.S_ACLK.INSERT_VIP                      string   false      0
CONFIG.CLK.USER_CLK.INSERT_VIP                    string   false      0
CONFIG.Component_Name                             string   false      azmig_xdma_0_0
CONFIG.HIGHADDR                                   string   false      0x00001FFF
CONFIG.INS_LOSS_NYQ                               string   false      15
CONFIG.MSI_X_OPTIONS                              string   false      None
CONFIG.M_AXI.INSERT_VIP                           string   false      0
CONFIG.M_AXIS_CQ.INSERT_VIP                       string   false      0
CONFIG.M_AXIS_H2C_0.INSERT_VIP                    string   false      0
CONFIG.M_AXIS_H2C_1.INSERT_VIP                    string   false      0
CONFIG.M_AXIS_H2C_2.INSERT_VIP                    string   false      0
CONFIG.M_AXIS_H2C_3.INSERT_VIP                    string   false      0
CONFIG.M_AXIS_RC.INSERT_VIP                       string   false      0
CONFIG.M_AXI_B.INSERT_VIP                         string   false      0
CONFIG.M_AXI_BYPASS.INSERT_VIP                    string   false      0
CONFIG.M_AXI_LITE.INSERT_VIP                      string   false      0
CONFIG.PCIE_BOARD_INTERFACE                       string   false      Custom
CONFIG.PF0_DEVICE_ID_mqdma                        string   false      9024
CONFIG.PF0_MSIX_CAP_PBA_BIR_mqdma                 string   false      BAR_0
CONFIG.PF0_MSIX_CAP_PBA_OFFSET_mqdma              string   false      00000000
CONFIG.PF0_MSIX_CAP_TABLE_BIR_mqdma               string   false      BAR_0
CONFIG.PF0_MSIX_CAP_TABLE_OFFSET_mqdma            string   false      00000000
CONFIG.PF0_MSIX_CAP_TABLE_SIZE_mqdma              string   false      000
CONFIG.PF0_REVISION_ID_mqdma                      string   false      00
CONFIG.PF0_SRIOV_CAP_INITIAL_VF                   string   false      0
CONFIG.PF0_SRIOV_FIRST_VF_OFFSET                  string   false      0
CONFIG.PF0_SRIOV_FUNC_DEP_LINK                    string   false      0000
CONFIG.PF0_SRIOV_SUPPORTED_PAGE_SIZE              string   false      00000553
CONFIG.PF0_SRIOV_VF_DEVICE_ID                     string   false      0000
CONFIG.PF0_SUBSYSTEM_ID_mqdma                     string   false      0007
CONFIG.PF0_SUBSYSTEM_VENDOR_ID_mqdma              string   false      10EE
CONFIG.PF1_DEVICE_ID_mqdma                        string   false      0007
CONFIG.PF1_INTERRUPT_PIN                          string   false      NONE
CONFIG.PF1_MSIX_CAP_PBA_BIR_mqdma                 string   false      BAR_0
CONFIG.PF1_MSIX_CAP_PBA_OFFSET_mqdma              string   false      00000000
CONFIG.PF1_MSIX_CAP_TABLE_BIR_mqdma               string   false      BAR_0
CONFIG.PF1_MSIX_CAP_TABLE_OFFSET_mqdma            string   false      00000000
CONFIG.PF1_MSIX_CAP_TABLE_SIZE_mqdma              string   false      000
CONFIG.PF1_MSI_CAP_MULTIMSGCAP                    string   false      1_vector
CONFIG.PF1_REVISION_ID                            string   false      00
CONFIG.PF1_REVISION_ID_mqdma                      string   false      00
CONFIG.PF1_SRIOV_CAP_INITIAL_VF                   string   false      0
